BENE-BERAQUE,hebraico,filho de Beraque - Js 19:45
BENE-GEBER,hebraico,filho de Geber - 1 Rs 4:13
BENE-GEDER,hebraico,filho de um herói - 1 Rs 4:13
BENE-HADADE,hebraico,filho de Hadade; supremo deus da Síria - 1 RS 15:18
BENE-HAIL,hebraico,filho de força - 2 Cr 17:7
BENE-HANA,hebraico,filho da graça - 1 Cr 4:20
BENE-JASEM,hebraico,filho admirável; dormindo - 2 Sm 23:32
BENE-HESEDE,hebraico,filho de benevolência - 1 Rs 4:10
BENE-JAACA,hebraico,filhos de inteligência; da necessidade - Nm 33:31
BENE-JACAM,hebraico,filho da necessidade - Nm 33:31
BENE-ZOETE,hebraico,filho de Zoete - 1 Cr 4:20
BENEDITO,hebraico,abençoado - Gn 12:3
BENESEDE,hebraico,filho de benevolência; Hesede - 1 Rs 4:10
BENGEBER,hebraico,poço de Geber - 1 Rs 4:13
BENINON,hebraico,lamentação - Ne 3:18
BENINU,hebraico,nosso filho - Ne 10:13
BENJAMIM,hebraico,filho da minha mão direita; filho da felicidade; filho da destra - Gn 35:24
BENO,hebraico,seu filho - 1 Cr 24:26
BENONI,hebraico,filho da minha tristeza; tribulação - Gn 35:18
BENUI,hebraico,pela misericórdia de Deus - 2 Cr 28:3
BENZOETE,hebraico,filho de Zoete; corpulento - 1 Cr 4:20
BEOM,hebraico,casa de habitação - Nm 32:3
BEOR,hebraico,facho - Gn 36:32
BEQUEL,hebraico,camelo novo - Gn 46:21
BEQUER,hebraico,primogênito; camelo novo - Gn 46:21
BERA,hebraico,poço; excelência; dom - 1 Cr 5:6-26
BERACA,hebraico,bênção - 1 Cr 12:3
BERAÍAS,hebraico,Jeová criou - 1 Cr 8:21
BEREDE,hebraico,saraiva - 1 Cr 7:20
BERÉIA,grego,pesado At 17:10
BERENICE,grego,vitoriosa; portadora da vitória - At 25:13
BEREQUIAS,hebraico,Jeová abençoa; abençoou - 1 Cr 6:39
BERI,hebraico,homem de um poço - 1 Cr 7:36
BERIA,hebraico,grito de dor - Gn 46:17
BERÍAS,hebraico,dom - 1 Cr 7:23
BERITE,hebraico,poço de Deus - 1 Cr 7:36
BERODAQUE-BALADA,persa,Merodaque deu um filho - 2 Rs 20:12
BEROTA,hebraico,poços - Ez 47:16
BEROTAL,hebraico,poços do Senhor - 2 Sm 8:8; Ez 47:16
BERSEBA,hebraico,poço de juramento; poço dos sete - 2 Sm 17:11
BESAI,hebraico,pisado pelo Senhor - Ed 2:49
BESEQUE,hebraico,relâmpago - Jz 1:4
BESODEIAS,hebraico,no concílio do Senhor - Ne 3:6
BESODIAS,hebraico,familiar de Jeová - Ne 3:6
BESOR,hebraico,frialdade - 1 Sm 30:9
BETA,hebraico,confiança - 2 Sm 8:8
BETACARÉM,hebraico,casa da vinha - Jr 6:1
BETACARÃO,hebraico,casa da vinha - Jr 6:1
BETANA,hebraico,lugar alto - 1 Rs 4:9
BETÂNIA,hebraico,casa de tâmaras; casa do aflito - Jo 11:18
BETARAM,hebraico,casa do alto - Js 13:27
BETAVEM,hebraico,casa da vaidade - Js 7:2
BETE,hebraico,casa - Sl 119:9
BETE-ACARÉM,hebraico,casa da vinha - Jr 6:1
BETE-ANATE,hebraico,casa de Anete - Js 19:38
BETE-ARABA,hebraico,casa do deserto - Js 15:6
BETE-ANOITE,,templo; casa de Anote - Js 15:59
BETE-ARA,hebraico,lugar alto; casa do alto - Js 13:27
BETE-ARABIM,hebraico,casa da multidão - Cr 7:4
BETE-ARBEL,hebraico,casa de emboscada; casa da cilada de Deus - Os 10:14
BETE-ASBEIA,hebraico,casa que eu seja testemunha - 1 Cr 4:21
BETE-ÁVEM,hebraico,casa do nada; idolatria - Js 7:2
BETE-AZMAVETE,hebraico,casa da morte valente - Ne 7:28
BETE-BAAL-MEOM,hebraico,casa do senhor Meom - Js 13:17
BETE-BARA,hebraico,casa do vau; lugar deserto - Jz 7:24
BETE-BASI,hebraico,casa de Basi - Mac 9:62
BETE-BATA,hebraico,casa de confiança - 1 Sm 8:8
BETE-BERA,hebraico,lugar do deserto; casa do vau - Jz 7:24
BETE-BERÍ,hebraico,casa da minha criação; casa do vau - 1 Cr 4:31
BETE-BIRAI,hebraico,lugar da cidade; casa por Deus - 1 Cr 4:31
BETE-CAR,hebraico,casa de pasto - 1 Sm 7:11
BETE-DAGOM,hebraico,casa de Dagom - Js 19:27
BETE-DIBLATAIM,hebraico,casa da pasta de figo - Jr 48:22
BETE-ÉDEM,hebraico,casa do prazer - Am 1:5
BETE-EMEQUE,hebraico,casa do vale - Js 19:27
BETE-EQUEDE,hebraico,casa de Equede; casa do vale - 2 Rs 10:12
BETE-EZEL,hebraico,casa ao lado; casa da proximidade - Mq 1:11
BETE-GADER,hebraico,casa do muro - 1 Cr 2:51
BETE-GAMUL,hebraico,casa dos camelos - Jr 48:23
BETE-GAMUR,hebraico,casa de perfeição; casa dos camelos - Jr 48:23
BETE-HACA-CHEREM,hebraico,casa da vinha - Ne 3:14
BETE-HANA,hebraico,casa da Ana - 1 Rs 4:9
BETE-HARA,hebraico,lugar alto - Nm 32:36
BETE-HARAQUÉM,casa da vinha - Jr 6:1
BETE-HARAQUEZEM,hebraico,casa da vinha - Jr 6:1
BETE-HOGLA,hebraico,casa de perdiz - Js 15:6
BETE-HOROM,hebraico,casa da abertura - Js 16:3
BETE-JESMOTE,hebraico,casa das devastações - Nm 33:49
BETE-LE-AFRA,hebraico,casa do pó - Mq 1:10
BETE-LEBAOTE,hebraico,casa da leoa - Js 19:6
BETE-MAÁCA,hebraico,prado da casa de Maáca - 2 Sm 20:15
BETE-MARCABOTE,hebraico,casa de carros; carroças - Js 19:5
BETE-MELO,hebraico,casa de Melo; Semeate - 2 Rs 12:21
BETE-MEMRA,hebraico,casa do leopardo - Js 13:27
BETE-MEOM,hebraico,casa de habitação - Jr 48:23
BETE-MERAQUE,hebraico,casa de retirada - 2 Sm 5:17
BETE-BAAL-MEOM,hebraico,casa do senhor Meom - Js 13:17
BETE-BARA,hebraico,casa do vau; lugar deserto - Jz 7:24
BETE-BASI,hebraico,casa de Basi - 1 Mac 9:62
BETE-BATA,hebraico,casa de confiança - 1 Sm 8:8
BETE-BERA,hebraico,lugar do deserto; casa do vau - Jz 7:24
BETE-BERI,hebraico,casa da minha criação; casa do vau - 1 Cr 4:31
BETE-BIRAI,hebraico,lugar da cidade; casa criada por Deus - 1 Cr 4:31
BETE-CAR,hebraico,casa de pasto - 1 Sm 7:11
BETE-DAGOM,hebraico,casa de Dagom - Js 19:27
BETE-DIBLATAIM,hebraico,casa da pasta de figo - Jr 48:22
BETE-ÉDEM,hebraico,casa do prazer - Am 1:5
BETE-EMEQUE,hebraico,casa do vale - Js 19:27
BETE-EQUEDE,hebraico,casa de Equede; casa do vale - 2 Rs 10:12
BETE-EZEL,hebraico,casa ao lado; casa da proximidade Mq 1:11
BETE-GADER,hebraico,casa do muro - 1 Cr 2:51
BETE-GAMUL,hebraico,casa dos camelos - Jr 48:23
BETE-GAMUR,hebraico,casa de perfeição; casa dos camelos - Jr 48:23
BETE-HAGA-CHEREM,hebraico,casa da vinha - Ne 3:14
BETE-HANA,hebraico,casa de Hana - 1 Rs 4:9
BETE-HARA,hebraico,lugar alto - Nm 32:36
BETE-HARAQUÉM,hebraico,casa da vinha - Jr 6:1
BETE-HARAQUEZÉM,hebraico,casa da vinha - Jr 6:1
BETE-HOGLA,hebraico,casa de perdiz - Js 15:6
BETE-HOROM,hebraico,casa de abertura - Js 16:3
BETE-JESIMOTE,hebraico,casa das devastações - Nm 33:49
BETE-LE-AFRA,hebraico,casa do pó - Mq 1:10
BETE-LEBAOTE,hebraico,casa da leoa - Js 19:6
BETE-MAÁCA,hebraico,prado da casa de Maáca - 2 Sm 20:15
BETE-MARCABORE,hebraico,casa de carros; carroças - Js 19:5
BETE-MELO,hebraico,casa de Melo; Semeste - 2 Rs 12:21
BETE-MEMRA,hebraico,casa do leopardo - Js 13:27
BETE-MEOM,hebraico,casa de habitação - Jr 48:23
BETE-MERAQUE,hebraico,casa de retirada - 2 Sm 5:17
BETE-MILO,hebraico,casa de Milo - Jz 9:6
BETE-NIMRA,hebraico,casa da água fresca; cristalina - Nm 32:36
BETE-RAPAZES,hebraico,casa de dispersão - Js 19:21
BETE-PELETE,hebraico,casa de fuga - Js 15:27
BETE-PEOR,hebraico,casa de Peor - Dt 3:29
BETE-QUÉREM,hebraico,casa de Quérem; casa de vinha - Ne 3:14
BETE-RABIM,hebraico,casa da multidão - Ct 7:4
BETE-RAFA,hebraico,casa de Rafa; casa de um gigante - 1 Cr 4:12
BETE-RECOBE,hebraico,casa; lugar de largueza - 2 Sm 10:6
BETE-SA,hebraico,casa de descanso; casa de tranqüilo descanso - Js 17:11
BETE-SEMIS,hebraico,casa do sol - Js 21:16
BETE-SEÁ,hebraico,casa de  sossego; casa de descanso - Js 17:11
BETE-SEBA,hebraico,filha de juramento - 2 Sm 11:3
BETE-SEMES,hebraico,casa do sol - Jr 21:16
BETE-SITA,hebraico,casa da acácia - Jz 7:22
BETE-TAPUA,hebraico,casa de maçãs - Js 15:53
BETE-ZEFOM,hebraico,casa do desejo; Zefem - Nm 26:15
BETE-ZUR,hebraico,casa de pedra - Js 15:58
BETEL,hebraico,casa de Deus - Gn 12:8
BETEN,hebraico,vale; barriga - Js 19:25
BETER,hebraico,separação - Ct 2:17
BATESAIDA,hebraico,casa de comida; frutas - Jo 1:44
BETESDA,hebraico,lugar de misericórdia; casa de misericórdia - Jo 5:2
BETEZEL,hebraico,lugar de proximidade - Mq 1:11
BETFAGÉ,grego,casa de figos verdes - Mt 21:1
BETIA,hebraico,filha de Jeová - 1 Cr 4:18
BETIAS,hebraico,filha do Senhor 1 Cr 4:18
BETONIM,hebraico,nozes de pistácia - Js 13:26
BETOROM,hebraico,casa de abertura - Js 16:3
BETSAIDA,grego,hebraico; casa de pesca - Mt 11:21
BETSABEIA,hebraico,filha de juramento - 2 Sm 11:3
BETSEBA,hebraico,filha do juramento 2 Sm 11:3
BETSUR,hebraico,casa de pedra - 1 Mac 6:49
BETUEL,hebraico,homem de Deus - Gn 22:23
BETUL,hebraico,virgem; separado - Js 19:4
BEULA,hebraico,casado - Is 62:4
BEZAI,hebraico,espada - Ed 2:17
BEZAL,hebraico,alto; brilhante - Ed 2:17
BEZALEL,hebraico,na sombra de Deus - Ex 31:1
BEZEQUE,hebraico,relâmpago; disseminação - 1
Sm 11:8
BEZER,hebraico,fortaleza - Js 20:8
BÍBLIA,grego,Os Livros
BIDCAR,hebraico,filho do esforço - 2 Rs 9:25
BIGTÁ,hebraico,jardineiro - Et 1:10
BIGTÁ,persa,dom da fortuna - Et 1:10
BIGVAI,hebraico,alegre - Ed 2:14
BIGVAL,hebraico,jardineiro - Ed 2:2
BILA,hebraico,modéstia - Gn 29:29 Gn 36:27
BILDADE,hebraico,Bel amou; filho da contenda - Jo 2:11
BILEA,hebraico,ardor - 1 Cr 6:70
BILEÃO,hebraico,ardor; destruição - 1 Cr 6:70
BILGA,hebraico,regozijo - 1 Cr 24:14
BILGA,hebraico,prazenteiro - Ne 10:8
BILGAI,persa,prazenteiro - Ne 10:8
BILHA,hebraico,timidez; medo - Gn 29:29
BILHA,hebraico,vergonhoso - Gn 36:27
BILSA,hebraico,filho de língua eloquente - Ed 2:2
BIMAIL,hebraico,circuncidado; filho da mistura - 1 Cr 7:33
BIMAL,hebraico,circuncidado - 1 Cr 7:33
BINA,hebraico,filho de mistura - 1 Cr 8:37
BINCA,hebraico,saidas das águas - 1 Cr 8:37
BINEA,hebraico,filho de mistura - 1 Cr 8:37
BINUI,hebraico,edifício - Ed 8:33
BIRCHA,hebraico,filho de maldade; forte - Gn 14:2
BIRSA,hebraico,filho da perversidade - Gn 14:2
BIRZAVITE,hebraico,aberturas - 1 Cr 7:31
BISLAO,hebraico,filho da paz - Ed 4:17
BISPO,hebraico,vigilante; vigia; superintendente - 1 Tm 3:2
BITIAS,hebraico,filho do Senhor - 1 Cr 4:18
BITÍNIA,latim,violenta precipitação - At 16:7
BITROM,corte,divisão; garganta - 2 SM 2:29
BIZIOTÉIA,hebraico,desprezo de Jeová - Js 15:28
BIZIOTIA,hebraico,desprezo de Jeová - Js 15:28
BIZTA,hebraico,infrutífero; eunuco - Ed 1:10
BLASTO,grego,rebento | hebraico: frutífero - At 12:20
BOA,hebraico,polegar - Js 15:6
BOANERGES,hebraico,filho do trovão - Mc 3:17
BOAZ,hebraico,força; nele há força - Rt 4:1
BOAZES,hebraico,brilhantes - 1 Sm 14:4
BOCIAU,hebraico,provado por Jeová - 1 Cr 25:4
BOCOR,hebraico,camelo novo - Gn 46:21
BOCRU,hebraico,primogênito - 1 Cr 8:28
BONS PORTOS,grego,um porto de Creta; de fácil atracadouro - At 27:8
BOQUIM,hebraico,pranteadores - Jz 2:1 - 5
BOSES,hebraico,brilhante - 1 Sm 14:4
BOSOR,hebraico,consumido - 2 Ped 2:15
BOSORA,hebraico,curral - 1 Mac 5:26
BOZCATE,hebraico,pedregoso; elevado - 2 Rs 22:1
BOZEZ,hebraico,brilhante - 1 Sm 14:4
BOZRA,hebraico,aprisco - Gn 36:33
BUBASTA,hebraico,porção da esposa; da vergonha - Ez 30:17
BUL,hebraico,multável; crescimento - 1 Rs 6:38
BUNA,hebraico,prudência - 1 Cr 2:25
BUNI,hebraico,edificado; construído - Ne 11:15
BUQUI,hebraico,Jeová justiça - Nm 34:22
BUQUIAS,hebraico,provado por Jeová - 1 Cr 25:4-28
